product_id,colour,actual_price,current_price,discount,no_of_likes,quantity
1043756,Bleu ciel,26.37,13.19,50,923,29
1259070,armée verte,31.32,15.35,51,314,62
1281416,#1,25.77,11.76,54,15,75
1258563,rouge,19.41,12.6,35,51,55
1183048,Rose,43.63,13.6,69,56,94
1176910,Café noir,25.16,10.86,57,91,72
1281105,# 01,23.82,11.26,53,36,77
1574408,Dark Green,49.77,23.69,52,130,38
1349145,vert,32.04,17.2,46,93,37
1335402,vert,27.79,14.89,46,191,13
1257384,Bleu,78.43,43.5,45,273,49
1275638,rouge,19.63,9.74,50,76,21
1276562,vert,29.44,14.15,52,146,34
1187657,Rose,19.07,9.75,49,88,37
1189360,Noir,53.39,27.95,48,254,85
1276063,Jaune,24.11,11.57,52,71,28
1281415,#1,29.13,15.75,46,56,91
1281424,Noir,23.67,13.2,44,32,97
1518066,Khaki,33.02,17.5,47,24,92
1176716,# 01,22.02,11.47,48,135,81
1275635,kaki,36.58,19.1,48,162,49
1275924,Jaune,28.85,14.78,49,135,14
1354288,rouge,48.11,25.51,47,152,35
1392486,kaki,25.45,11.34,55,16,20
1258719,Bleu,74.13,24.02,68,26,98
1198167,Bleu rouge,28.56,12.21,57,35,82
1392508,Bleu,34.44,14.78,57,24,44
1028007,#2,9.01,3.98,56,173,27
1264608,armée verte,38.73,15.11,61,588,64
1275223,rouge,23.33,11.33,51,50,85
1260050,kaki,28.55,20.97,27,39,45
1391998,Noir,41.47,21.74,48,32,7
1354060,rouge,38.04,20.14,47,103,56
1019527,Rose,21.77,11.58,47,1701,46
1329202,Noir,26.12,14.49,45,148,54
1430594,#1,34.97,18.68,47,30,37
1275487,Jaune,27.67,13.72,50,78,35
1275634,rouge,28.84,14.26,51,45,23
1275636,rouge,21.86,11.25,49,87,21
1183047,chameau,25.12,12.74,49,170,70
1258045,Jaune,29.51,14.5,51,94,39
1186103,# 01,22.4,11.27,50,96,2
1457653,Jaune,34.1,16.99,50,45,24
1326458,Noir,23.1,12.18,47,142,44
1275637,vert,28.27,14.34,49,87,81
1329201,vert,26.3,14.02,47,243,41
1354147,Orange Bleu,35.45,18.67,47,41,22
1186102,Nu,69.39,34.14,51,140,86
1335747,Bleu,22.52,11.96,47,83,69
1457526,Jaune,27.06,13.55,50,18,81
1354262,Noir,48.11,25.51,47,150,45
1274850,rouge,22.7,11.83,48,91,40
1281836,Bleu,29.48,14.06,52,196,32
1198168,Noir,35.68,17.92,50,136,70
1349063,rouge,36.24,18.86,48,59,19
1391986,kaki,36.77,19.3,48,54,68
1186132,Bleu,25.74,12.49,52,7277,76
1392599,Noir,28.58,15.54,46,14,57
1277000,Jaune,24.97,12.53,50,75,15
1326491,Noir,21.17,11.45,46,84,72
1275962,rouge,21.29,11.04,48,128,8
1258044,Jaune,24.8,12.75,49,59,54
1259072,Jaune,22.7,11.89,48,75,5
1198672,Gris-violet,44.47,25.02,44,102,64
1275977,rouge,23.44,11.99,49,51,69
1243714,Red,98.15,36.29,63,20,73
1326476,Noir,28.04,14.2,49,110,90
1457654,Jaune,27.06,13.55,50,57,72
1354122,kaki,32.42,17.23,47,73,2
1183459,Rose,26.25,14.48,45,369,87
1198493,rouge,38.16,20.41,47,218,9
1279284,# 01,42.42,20.95,51,65,25
1349051,rouge,36.13,19.62,46,105,99
1392110,rouge,26.25,13.61,48,51,32
1392487,Noir,27.47,14.66,47,21,98
1274803,Jaune,21.8,11.76,46,43,95
1276561,gris,33.2,16.87,49,131,83
1257328,# 01,27.67,17.82,36,21,42
1274720,Jaune,26.97,13.87,49,60,18
1391945,vert,43.42,22.89,47,37,89
1349101,rouge,27.71,15.13,45,55,66
1281410,# 01,28.28,16.37,42,20,6
1457687,Jaune,29.08,14.49,50,40,7
1354106,Rose,38.26,20.17,47,38,7
1394523,#1,34.23,18.04,47,21,78
1259069,Black,26.68,14.24,47,1027,27
1274707,Noir,26.53,13.93,48,1330,58
1276826,Bleu,26.26,12.36,53,36,71
1281417,#1,25.8,14.7,43,52,92
1189056,rouge,38.39,21.15,45,225,24
1457686,Jaune,32.05,16.05,50,43,51
1257315,Jaune,31.73,16.03,50,51,1
1276065,Jaune,23.64,11.1,53,42,18
1486741,Brown,36.33,19.26,47,4,53
1195678,marron,17.11,7.26,58,59,82
1281608,#1,29.13,12.26,58,38,52
1274795,Noir,26.26,9.7,63,175,2
1335201,#1,22.21,9.42,58,66,23
1335722,vert,21.51,4.69,78,83,40
1354038,Noir,30.4,13.02,57,43,17
1198169,Jaune + Bleu,31.4,13.24,58,102,39
1274739,Jaune,26.68,11.06,59,62,58
1335727,rouge,25.05,11.02,56,128,96
1229248,rouge,50.44,20.71,59,66,53
1198670,Rouge-violet,128.68,53.43,59,50,66
1094400,café,18.15,4.68,74,206,74
1276828,vert,24.24,9.45,61,28,66
1198485,Bleu profond,17.53,7.22,59,190,8
1176915,Beige,28.92,9.2,68,45,59
1275639,rouge,29.46,2.43,92,94,42
1183045,# 02,36.93,11.33,69,111,73
1205207,vert,34.68,19.39,44,406,35
1281100,Noir,21.67,12.18,44,31,5
1274760,Jaune,24.24,6.81,72,54,74
1178043,bleu Gris,23.67,10.04,58,58,54
1399199,Bleu,23.21,9.74,58,21,46
1335802,Noir,23.35,9.95,57,55,83
1258803,Bleu,80.64,31.73,61,24,86
1276827,Jaune,34.58,13.06,62,126,8
1392456,Noir,29.28,12.42,58,26,12
1258043,rouge,28.56,12.11,58,181,34
1274759,Jaune,26.26,9,66,48,27
1366360,Noir,22.94,9.62,58,9,5
1644205,Brown,41.87,23.42,44,377,83
1676960,Noir,66.63,19.99,70,207,59
1686432,Noir,65,21.49,67,60,75
1523805,Brown,71.07,43.59,39,1645,55
1534002,Wine Red,56.99,31.05,46,416,98
1449033,gris,79.99,43.59,46,1580,83
1555907,Black,135.87,41.99,69,1575,54
1349962,# 01,126.73,63.21,50,690,96
1645900,#01,108.65,49.04,55,148,48
1360916,vert,207.09,99.18,52,734,5
1458808,Jaune,84.89,46.86,45,1964,58
1645768,Red,98.91,54.49,45,304,48
1645901,Pink,106.52,49.99,53,169,36
1563395,Red,44.12,23.42,47,76,21
1631901,Navy Blue,42.99,23.42,46,16,79
1624576,Wine Red,66.38,34.32,48,11,46
1674226,#01,49,21.99,55,35,25
1430236,Bleu profond,34.52,20.23,41,124,60
1406314,Vin rouge,56.47,33.23,41,103,82
1169209,Violet,43.26,17.82,59,25,20
1264418,marron,103,38.32,63,250,74
1207643,Noir,72.56,29.22,60,20,75
1301198,Gris clair,25.75,9.59,63,29,13
1001530,café,41.7,18.35,56,282,23
1204803,rouge,27.72,11.82,57,31,32
1258090,Gris Rose,121.99,51.99,57,83,75
1557097,Black,97.85,38.72,60,40,32
1443513,rouge,58.71,23.89,59,104,34
1050142,vert,39.6,18.74,53,783,27
1652371,Green,56.46,25.99,54,486,100
1430234,Bleu profond,27.99,17.43,38,45,77
1365337,Jaune,41.86,23.42,44,2134,48
1674224,#01,49,26.99,45,26,54
1631902,Navy Blue,53.85,29.96,44,15,74
1485834,Coloré,99.99,50.99,49,38,12
1608547,Blue,82.49,47.95,42,912,73
1273774,# 01,55.99,26.69,52,94,83
1645825,Pink,22,11.98,46,8,81
1267986,Vin rouge,54.71,31.05,43,103,25
1300311,Noir,94.72,53.4,44,80,24
1248307,Bleu,85.42,50.13,41,146,82
1535361,Navy,145.77,44.99,69,626,80
1494709,Noir,223.69,62.12,72,534,79
1391434,Bleu foncé,49.99,26.99,46,48,53
1608543,Green,79.19,17.6,78,648,17
1642938,Black,108.76,42.99,61,131,77
1386352,Bleu foncé,53.24,29.5,45,70,97
1450364,gris,205.68,61.03,70,2768,97
1538253,Yellow,40.99,21.99,46,46,92
1063578,Gris foncé,94.32,52.98,44,3250,20
1331835,marron,95.48,49.04,49,4637,83
1417482,Noir,44.04,27.78,37,1721,95
1493167,Noir,209.85,51.22,76,613,10
1509242,Rose,167.1,55.58,67,3658,60
1493169,Grey,224.31,59.94,73,363,82
1445485,Bleu,104.75,41.99,60,3938,96
1117552,Jaune,87.4,48.6,44,1565,53
1263497,rouge,113.39,58.85,48,2899,98
1321479,Noir,150.57,77.91,48,824,25
1396636,rouge,75.15,45.77,39,271,8
1482122,Noir,129.19,38.99,70,641,17
1635751,Blue,106.34,73.02,31,101,48
1489064,Noir,123.35,64.3,48,226,75
1545467,Black,80,38.99,51,381,29
1620678,Brown,29,15.25,47,28,42
1494712,Noir,212.15,61.03,71,285,3
1552558,Brown,308.15,53.4,83,184,77
1417464,Bleu,57.37,34.32,40,610,38
1624467,Blue,81.78,45.77,44,109,83
1493170,Noir,179.61,50.13,72,253,7
1322671,Noir,83.81,48.15,43,1091,20
1028717,#1,59.7,33.16,45,936,67
1642935,Beige,85.32,45.99,46,321,35
1487293,Blue,25.59,13.94,46,145,92
1608538,Pink,78.46,45.77,42,598,58
1357183,café,99.87,49.04,51,1870,10
1211511,armée verte,147.66,88.1,40,201,75
1203588,Bleu,87.17,41.41,53,3119,84
