subcat_id,subcategory
1,Crayon à sourcils & Amplificateur
2,Soins des lèvres
3,Fond de teint
4,Vegetables
5,Lits & Tapis
6,Outils
7,Bougies & Bougeoirs
8,Boîtes d'oreiller
9,Lampes & Lumières décoratives
10,Fonds de photo
11,Stickers 3D
12,Colliers
13,Shorts
14,Boxers & Slips de bain
15,Sweaters
16,Sandales & Mules
17,Sandales
18,Jupes
19,Robes en dentelle
20,Boho Dresses
21,Chaussettes & Collants
22,Straw Hats
23,Sacs de voyage
24,Lunettes
25,Tondeuse pour poils
26,Autres outils de cheveux
27,Coffrets Maquillage
28,Sacs à déjeuner
29,Serviettes de mains
30,Chaînes de lumières
31,Anti-stress
32,Alarme Smart
33,Broderie à point de croix
34,Toys
35,Baking & Pastry Tools
36,Pantalons & Jupes
37,Vestes
38,Sweatshirts
39,Bottes & Chaussures montantes
40,Foulards & Écharpes
41,Autres
42,Pochettes
43,Pinceaux
44,Massage & Relaxation
45,Highlighters & Bronzers
46,Spa & Aromathérapie & Diffuseurs
47,Fers à friser pour cheveux
48,Soin visage
49,Boîte d'assaisonnement
50,Water Bags
51,Housses de canapé
52,Coffee Makers
53,Bottes de pluie
54,Zinc Alloy
55,T-Shirts
56,SOUS-VÊTEMENTS
57,Sneakers & Baskets
58,Kimonos & Tank Tops
59,Suits & Co-ords
60,Grande Taille
61,Tankinis
62,Beanie Hat
63,Portefeuilles
64,Stickers ongles
65,Coloration cheveux
66,Faux cils
67,Home Carpets
68,Coussins & Oreillers
69,Outils de cuisine & Gadgets
70,Fasteners & Hooks
71,Boîtes- Chenils & Grillage
72,Other Home Tools
73,Sécurité de maison
74,Baking Mats & Liners
75,Housses d'Habit & Baggage
76,Fournitures de nettoyage
77,Alarmes
78,Sets de Chaises & Bureaux & Selles
79,Montres pour femme
80,Bracelets
81,Tops
82,Vêtements d'extérieur & Manteaux
83,Pantalons
84,Suit Jackets
85,Slipper
86,Shorts & Jupes
87,Robes vintage
88,Denim & Jeans
89,Culotte haute
90,Survêtements
91,Brassières de sport
92,Correcteur
93,Poudre libre
94,Soins des oreilles
95,Soins des pieds
96,Vernis à ongles
97,Flowers
98,Fruit & Vegetable Tools
99,Lampes de bureau
100,Enamel Cups
